Technology,region_26
HR,region_4
Sales & Marketing,region_13
Procurement,region_2
Finance,region_29
Procurement,region_7
Finance,region_2
Analytics,region_22
Technology,region_7
Technology,region_22
Sales & Marketing,region_16
Sales & Marketing,region_17
Sales & Marketing,region_4
Analytics,region_24
Operations,region_11
Sales & Marketing,region_7
Operations,region_27
Procurement,region_27
Sales & Marketing,region_9
Technology,region_17
Technology,region_29
Procurement,region_4
Finance,region_20
Operations,region_20
Analytics,region_13
Operations,region_22
Sales & Marketing,region_34
Analytics,region_2
Sales & Marketing,region_2
Technology,region_23
Sales & Marketing,region_8
Sales & Marketing,region_14
Sales & Marketing,region_22
Analytics,region_26
Sales & Marketing,region_31
Operations,region_13
Technology,region_2
Analytics,region_34
Operations,region_23
Sales & Marketing,region_19
Operations,region_2
Technology,region_4
Finance,region_22
Legal,region_2
Technology,region_5
Operations,region_26
Sales & Marketing,region_28
Analytics,region_29
Procurement,region_22
Technology,region_15
Analytics,region_7
Analytics,region_4
Procurement,region_29
Operations,region_3
HR,region_2
HR,region_29
Technology,region_13
HR,region_17
Analytics,region_15
R&D,region_22
Technology,region_24
Sales & Marketing,region_25
Procurement,region_13
Sales & Marketing,region_12
Legal,region_22
Analytics,region_19
Sales & Marketing,region_15
Operations,region_8
Technology,region_31
Analytics,region_21
Operations,region_30
Analytics,region_16
Finance,region_4
HR,region_7
Operations,region_29
Sales & Marketing,region_26
Procurement,region_20
Technology,region_9
Sales & Marketing,region_10
Sales & Marketing,region_30
Technology,region_33
Sales & Marketing,region_21
Operations,region_7
Finance,region_13
HR,region_27
HR,region_15
Operations,region_32
Analytics,region_6
HR,region_22
R&D,region_7
Analytics,region_32
Technology,region_14
R&D,region_2
Operations,region_15
Procurement,region_15
R&D,region_26
Finance,region_28
Legal,region_6
Operations,region_6
Procurement,region_11
Technology,region_11
Operations,region_4
Sales & Marketing,region_6
Procurement,region_21
Sales & Marketing,region_29
Analytics,region_27
Operations,region_14
Sales & Marketing,region_11
Procurement,region_26
Analytics,region_11
Procurement,region_1
Sales & Marketing,region_20
Operations,region_34
Analytics,region_23
Procurement,region_31
Operations,region_19
Technology,region_6
Technology,region_8
Procurement,region_5
Sales & Marketing,region_27
Finance,region_26
Operations,region_31
Technology,region_27
Analytics,region_31
Legal,region_13
Procurement,region_16
Legal,region_11
Sales & Marketing,region_24
Procurement,region_24
Sales & Marketing,region_5
Procurement,region_17
Technology,region_16
HR,region_28
Analytics,region_28
Sales & Marketing,region_33
Operations,region_33
Finance,region_15
Operations,region_16
R&D,region_16
Analytics,region_5
Technology,region_30
Procurement,region_10
Technology,region_20
Sales & Marketing,region_3
Sales & Marketing,region_32
Analytics,region_30
Operations,region_28
Operations,region_17
Operations,region_10
Sales & Marketing,region_1
Operations,region_1
Analytics,region_25
Analytics,region_10
HR,region_16
HR,region_26
Sales & Marketing,region_23
Finance,region_27
Procurement,region_30
Legal,region_32
Technology,region_19
Procurement,region_12
Technology,region_10
Procurement,region_19
Sales & Marketing,region_18
Procurement,region_23
R&D,region_25
Finance,region_32
Technology,region_1
Operations,region_12
Technology,region_28
HR,region_31
Legal,region_16
R&D,region_4
Finance,region_11
Technology,region_21
Operations,region_21
Finance,region_31
Analytics,region_14
Technology,region_25
Legal,region_31
HR,region_8
Finance,region_16
Finance,region_10
Finance,region_23
HR,region_25
Procurement,region_8
R&D,region_8
HR,region_32
Operations,region_9
Analytics,region_8
Operations,region_25
Procurement,region_14
Procurement,region_34
Analytics,region_3
Operations,region_5
Procurement,region_9
HR,region_23
Finance,region_7
R&D,region_27
Technology,region_34
Analytics,region_20
Finance,region_30
Finance,region_6
R&D,region_11
HR,region_5
HR,region_10
R&D,region_13
Legal,region_23
HR,region_13
Finance,region_19
Procurement,region_28
Legal,region_7
HR,region_6
Legal,region_15
Technology,region_12
Procurement,region_6
Legal,region_26
Legal,region_5
Legal,region_4
R&D,region_23
HR,region_11
R&D,region_31
R&D,region_15
HR,region_12
HR,region_20
Operations,region_24
Analytics,region_9
HR,region_3
Finance,region_14
Legal,region_34
Legal,region_27
Analytics,region_17
Analytics,region_1
HR,region_30
Technology,region_3
R&D,region_29
HR,region_1
Procurement,region_32
Legal,region_12
R&D,region_10
Finance,region_25
HR,region_14
HR,region_19
HR,region_24
Legal,region_20
Legal,region_21
R&D,region_28
Finance,region_12
Legal,region_30
Finance,region_5
Finance,region_8
Analytics,region_12
Finance,region_9
Finance,region_1
Finance,region_34
Procurement,region_33
R&D,region_3
Legal,region_19
Legal,region_17
Operations,region_18
R&D,region_24
HR,region_34
R&D,region_30
Technology,region_32
R&D,region_20
Legal,region_3
Legal,region_29
Procurement,region_3
Procurement,region_25
HR,region_33
Technology,region_18
R&D,region_32
HR,region_21
R&D,region_17
R&D,region_5
